file,point_index,series,x_px,y_px,rssi,rssi_float,area
6.PNG,43,yellow,829.5,1077.5,-86,-86.01,440
6.PNG,44,yellow,830.5,977.5,-81,-80.97,440
6.PNG,45,yellow,849.5,997.5,-82,-81.98,440
6.PNG,46,yellow,863.5,1017.5,-83,-82.99,440
6.PNG,47,yellow,883.5,977.5,-81,-80.97,440
6.PNG,48,yellow,893.6,997.6,-82,-81.98,435
6.PNG,49,yellow,900.5,938.5,-79,-79.01,440
6.PNG,50,yellow,924.5,1196.5,-92,-92.0,440
6.PNG,51,yellow,935.5,799.5,-72,-72.01,440
6.PNG,52,yellow,946.5,977.5,-81,-80.97,440
6.PNG,53,yellow,962.5,1097.5,-87,-87.01,440
6.PNG,54,yellow,974.5,958.5,-80,-80.01,440
6.PNG,55,yellow,991.3,918.5,-78,-78.0,434
6.PNG,56,yellow,1005.5,958.5,-80,-80.01,440
6.PNG,57,yellow,1013.7,918.5,-78,-78.0,434
6.PNG,58,yellow,1030.5,1097.5,-87,-87.01,440
6.PNG,59,yellow,1045.5,958.5,-80,-80.01,442
6.PNG,60,yellow,1056.5,1117.5,-88,-88.02,440
6.PNG,61,yellow,1070.5,977.5,-81,-80.97,440
7.PNG,1,yellow,257.5,931.5,-84,-84.0,440
7.PNG,2,yellow,268.5,1063.5,-89,-88.98,440
7.PNG,3,yellow,282.5,958.5,-85,-85.02,440
7.PNG,4,yellow,294.5,1063.5,-89,-88.98,440
7.PNG,5,yellow,308.5,1090.5,-90,-90.0,440
7.PNG,6,yellow,321.5,1170.5,-93,-93.02,440
7.PNG,7,yellow,335.5,1037.5,-88,-88.0,440
7.PNG,8,yellow,347.5,958.5,-85,-85.02,440
7.PNG,9,yellow,360.5,984.5,-86,-86.0,440
7.PNG,10,yellow,368.5,1302.5,-98,-98.0,440
7.PNG,11,yellow,382.5,1090.5,-90,-90.0,440
7.PNG,12,yellow,399.5,1223.5,-95,-95.02,441
7.PNG,13,yellow,413.5,1249.5,-96,-96.0,440
7.PNG,14,yellow,424.5,1196.5,-94,-94.0,440
7.PNG,15,yellow,437.5,931.5,-84,-84.0,440
7.PNG,16,yellow,450.5,1063.5,-89,-88.98,356
7.PNG,17,yellow,467.0,1063.5,-89,-88.98,376
7.PNG,18,yellow,479.5,958.5,-85,-85.02,440
7.PNG,19,yellow,491.5,878.5,-82,-82.0,440
7.PNG,20,yellow,503.5,905.5,-83,-83.02,440
7.PNG,21,yellow,518.5,984.5,-86,-86.0,440
7.PNG,22,yellow,525.5,958.5,-85,-85.02,468
7.PNG,23,yellow,551.6,1143.5,-92,-92.0,358
7.PNG,24,yellow,567.4,1143.5,-92,-92.0,358
7.PNG,25,yellow,587.0,1090.5,-90,-90.0,560
7.PNG,26,yellow,612.0,931.5,-84,-84.0,512
7.PNG,27,yellow,637.5,1170.5,-93,-93.02,584
7.PNG,28,yellow,659.5,1011.5,-87,-87.02,440
7.PNG,29,yellow,676.5,878.5,-82,-82.0,440
7.PNG,30,yellow,683.5,905.5,-83,-83.02,440
7.PNG,31,yellow,701.5,931.5,-84,-84.0,440
7.PNG,32,yellow,706.5,1090.5,-90,-90.0,440
7.PNG,33,yellow,727.5,984.5,-86,-86.0,440
7.PNG,34,yellow,735.4,1063.5,-89,-88.98,395
7.PNG,35,yellow,751.2,1063.5,-89,-88.98,290
7.PNG,36,yellow,765.4,1063.5,-89,-88.98,358
7.PNG,37,yellow,781.5,931.5,-84,-84.0,440
7.PNG,38,yellow,785.5,1011.5,-87,-87.02,440
7.PNG,39,yellow,799.5,1143.5,-92,-92.0,440
7.PNG,40,yellow,818.5,984.5,-86,-86.0,440
7.PNG,41,yellow,831.5,905.5,-83,-83.02,440
7.PNG,42,yellow,844.5,984.5,-86,-86.0,356
7.PNG,43,yellow,861.0,984.5,-86,-86.0,376
7.PNG,44,yellow,873.3,878.5,-82,-82.0,434
7.PNG,45,yellow,885.5,984.5,-86,-86.0,440
7.PNG,46,yellow,895.7,878.5,-82,-82.0,434
7.PNG,47,yellow,909.5,958.5,-85,-85.02,440
7.PNG,48,yellow,926.5,1117.5,-91,-91.02,440
7.PNG,49,yellow,938.5,1037.5,-88,-88.0,440
7.PNG,50,yellow,952.5,1011.5,-87,-87.02,440
7.PNG,51,yellow,963.5,984.5,-86,-86.0,440
7.PNG,52,yellow,977.5,852.5,-81,-81.02,440
7.PNG,53,yellow,988.5,1143.5,-92,-92.0,468
7.PNG,54,yellow,1017.5,931.5,-84,-84.0,440
7.PNG,55,yellow,1027.5,825.5,-80,-80.0,440
7.PNG,56,yellow,1043.5,1090.5,-90,-90.0,442
7.PNG,57,yellow,1056.5,1037.5,-88,-88.0,440
7.PNG,58,yellow,1070.5,1063.5,-89,-88.98,440
8.PNG,1,yellow,257.5,984.5,-86,-85.99,440
8.PNG,2,yellow,265.5,1037.5,-88,-87.99,440
8.PNG,3,yellow,279.5,1143.5,-92,-91.99,440
8.PNG,4,yellow,305.5,1011.5,-87,-87.01,440
8.PNG,5,yellow,315.5,1090.5,-90,-89.99,356
8.PNG,6,yellow,332.0,1090.5,-90,-89.99,376
8.PNG,7,yellow,345.5,1117.5,-91,-91.01,440
8.PNG,8,yellow,353.5,1143.5,-92,-91.99,440
8.PNG,9,yellow,372.5,1037.5,-88,-87.99,440
8.PNG,10,yellow,385.5,1143.5,-92,-91.99,440
8.PNG,11,yellow,397.5,1196.5,-94,-94.0,440
8.PNG,12,yellow,413.5,1063.5,-89,-88.97,440
8.PNG,13,yellow,426.5,1117.5,-91,-91.01,440
8.PNG,14,yellow,440.5,1170.5,-93,-93.01,440
8.PNG,15,yellow,450.5,1037.5,-88,-87.99,356
8.PNG,16,yellow,467.0,1037.5,-88,-87.99,376
8.PNG,17,yellow,478.5,1249.5,-96,-96.0,440
8.PNG,18,yellow,488.5,1063.5,-89,-88.97,440
8.PNG,19,yellow,506.0,1037.5,-88,-87.99,560
8.PNG,20,yellow,526.8,1196.5,-94,-94.0,410
8.PNG,21,yellow,546.9,1196.5,-94,-94.0,426
8.PNG,22,yellow,560.5,1117.5,-91,-91.01,440
8.PNG,23,yellow,570.5,1249.5,-96,-96.0,440
8.PNG,24,yellow,586.5,1037.5,-88,-87.99,440
8.PNG,25,yellow,601.5,1090.5,-90,-89.99,440
8.PNG,26,yellow,608.5,1117.5,-91,-91.01,440
8.PNG,27,yellow,632.0,958.5,-85,-85.0,608
