file,point_index,series,x_px,y_px,rssi,rssi_float,area
6.PNG,11,yellow,387.5,1057.5,-85,-85.0,440
6.PNG,12,yellow,397.5,997.5,-82,-81.98,440
6.PNG,13,yellow,413.5,898.5,-77,-76.99,360
6.PNG,14,yellow,428.9,898.5,-77,-76.99,336
6.PNG,15,yellow,441.5,1017.5,-83,-82.99,440
6.PNG,16,yellow,449.5,958.5,-80,-80.01,440
6.PNG,17,yellow,467.5,898.5,-77,-76.99,440
6.PNG,18,yellow,481.5,977.5,-81,-80.97,440
6.PNG,19,yellow,495.5,1136.5,-89,-88.98,440
6.PNG,20,yellow,507.5,997.5,-82,-81.98,440
6.PNG,21,yellow,521.5,938.5,-79,-79.01,440
6.PNG,22,yellow,535.5,918.5,-78,-78.0,440
6.PNG,23,yellow,546.5,1057.5,-85,-85.0,440
6.PNG,24,yellow,560.5,898.5,-77,-76.99,440
6.PNG,25,yellow,571.5,997.5,-82,-81.98,440
6.PNG,26,yellow,589.5,1196.5,-92,-92.0,440
6.PNG,27,yellow,601.5,918.5,-78,-78.0,440
6.PNG,28,yellow,614.5,997.5,-82,-81.98,440
6.PNG,29,yellow,627.5,1077.5,-86,-86.01,440
6.PNG,30,yellow,640.6,779.5,-71,-71.0,358
6.PNG,31,yellow,655.9,779.5,-71,-71.0,336
6.PNG,32,yellow,663.5,1077.5,-86,-86.01,440
6.PNG,33,yellow,682.5,958.5,-80,-80.01,440
6.PNG,34,yellow,694.5,1037.5,-84,-83.99,440
6.PNG,35,yellow,706.5,958.5,-80,-80.01,440
6.PNG,36,yellow,720.5,938.5,-79,-79.01,441
6.PNG,37,yellow,735.4,818.6,-73,-72.97,436
6.PNG,38,yellow,745.0,799.4,-72,-72.0,372
6.PNG,39,yellow,762.0,799.5,-72,-72.01,376
6.PNG,40,yellow,775.5,1097.5,-87,-87.01,440
6.PNG,41,yellow,793.5,977.5,-81,-80.97,628
6.PNG,42,yellow,815.5,997.5,-82,-81.98,440
6.PNG,43,yellow,829.5,1037.5,-84,-83.99,440
6.PNG,44,yellow,842.5,997.5,-82,-81.98,439
6.PNG,45,yellow,853.5,977.5,-81,-80.97,439
6.PNG,46,yellow,868.5,1077.5,-86,-86.01,440
6.PNG,47,yellow,882.5,997.5,-82,-81.98,440
6.PNG,48,yellow,895.5,958.5,-80,-80.01,440
6.PNG,49,yellow,907.5,938.5,-79,-79.01,442
6.PNG,50,yellow,921.5,779.5,-71,-71.0,440
6.PNG,51,yellow,935.5,898.5,-77,-76.99,440
6.PNG,52,yellow,947.5,1077.5,-86,-86.01,440
6.PNG,53,yellow,963.5,977.5,-81,-80.97,440
6.PNG,54,yellow,970.5,1057.5,-85,-85.0,440
6.PNG,55,yellow,988.5,858.5,-75,-74.98,440
6.PNG,56,yellow,1002.5,958.5,-80,-80.01,440
6.PNG,57,yellow,1016.5,1136.5,-89,-88.98,440
6.PNG,58,yellow,1028.5,1097.5,-87,-87.01,440
6.PNG,59,yellow,1040.5,878.5,-76,-75.99,440
6.PNG,60,yellow,1055.5,918.5,-78,-78.0,440
6.PNG,61,yellow,1070.5,818.5,-73,-72.96,440
7.PNG,1,yellow,257.5,1117.5,-78,-78.02,440
7.PNG,2,yellow,265.5,977.5,-71,-70.99,440
7.PNG,3,yellow,281.5,1017.5,-73,-73.0,440
7.PNG,4,blue,293.5,898.5,-67,-67.02,448
7.PNG,5,blue,307.5,838.5,-64,-64.01,448
7.PNG,6,blue,319.5,878.5,-66,-66.02,448
7.PNG,7,blue,334.5,938.5,-69,-69.03,448
7.PNG,8,yellow,345.5,1077.5,-76,-76.01,440
7.PNG,9,blue,359.5,918.5,-68,-68.02,448
7.PNG,10,yellow,373.5,997.5,-72,-71.99,440
7.PNG,11,yellow,385.5,1017.5,-73,-73.0,442
7.PNG,12,blue,399.5,958.5,-70,-70.03,448
7.PNG,13,yellow,413.5,1017.5,-73,-73.0,440
7.PNG,14,blue,425.5,838.5,-64,-64.01,448
7.PNG,15,blue,436.5,878.5,-66,-66.02,448
7.PNG,16,blue,452.5,898.5,-67,-67.02,447
7.PNG,17,blue,464.5,878.5,-66,-66.02,450
7.PNG,18,blue,477.5,898.5,-67,-67.02,449
7.PNG,19,blue,490.5,858.5,-65,-65.01,448
7.PNG,20,yellow,509.5,1017.5,-73,-73.0,672
7.PNG,21,yellow,531.5,1156.5,-80,-79.98,440
7.PNG,22,blue,543.5,918.5,-68,-68.02,448
7.PNG,23,blue,552.5,878.5,-66,-66.02,448
7.PNG,24,blue,570.5,898.5,-67,-67.02,450
7.PNG,25,yellow,581.5,1017.5,-73,-73.0,440
7.PNG,26,blue,596.5,838.2,-64,-63.99,438
7.PNG,27,blue,602.7,858.8,-65,-65.02,406
7.PNG,28,blue,622.3,858.5,-65,-65.01,417
7.PNG,29,blue,634.5,838.5,-64,-64.01,449
7.PNG,30,blue,647.5,878.5,-66,-66.02,448
7.PNG,31,yellow,662.5,997.5,-72,-71.99,440
7.PNG,32,blue,673.5,918.5,-68,-68.02,448
7.PNG,33,yellow,688.5,1057.5,-75,-75.01,440
7.PNG,34,yellow,700.0,977.5,-71,-70.99,376
7.PNG,35,yellow,717.0,977.5,-71,-70.99,376
7.PNG,36,blue,728.5,878.5,-66,-66.01,449
7.PNG,37,yellow,740.5,1057.5,-75,-75.01,440
7.PNG,38,blue,754.5,938.5,-69,-69.03,448
7.PNG,39,yellow,768.5,1057.5,-75,-75.01,440
7.PNG,40,blue,779.5,938.5,-69,-69.03,448
7.PNG,41,blue,798.0,878.5,-66,-66.02,616
7.PNG,42,yellow,820.5,997.5,-72,-71.99,440
7.PNG,43,blue,831.5,898.5,-67,-67.02,448
7.PNG,44,blue,843.4,938.5,-69,-69.03,402
7.PNG,45,blue,861.1,938.5,-69,-69.03,382
7.PNG,46,blue,870.5,878.5,-66,-66.02,448
7.PNG,47,blue,886.5,898.5,-67,-67.02,448
7.PNG,48,blue,896.5,818.5,-63,-63.0,449
7.PNG,49,blue,912.5,898.5,-67,-67.02,448
7.PNG,50,yellow,921.5,977.5,-71,-70.99,440
7.PNG,51,blue,936.5,938.5,-69,-69.03,448
7.PNG,52,blue,951.5,918.5,-68,-68.02,448
7.PNG,53,blue,965.5,878.5,-66,-66.02,448
7.PNG,54,yellow,977.5,1236.5,-84,-84.0,440
7.PNG,55,yellow,987.5,997.5,-72,-71.99,440
7.PNG,56,blue,1003.5,838.5,-64,-64.01,448
7.PNG,57,blue,1014.5,918.5,-68,-68.02,448
7.PNG,58,blue,1028.5,898.5,-67,-67.02,450
7.PNG,59,yellow,1043.5,1077.5,-76,-76.01,442
7.PNG,60,blue,1055.5,878.5,-66,-66.02,448
7.PNG,61,blue,1070.5,818.5,-63,-63.0,448
8.PNG,1,yellow,257.5,894.5,-71,-71.01,440
8.PNG,2,yellow,265.5,989.5,-77,-76.98,440
8.PNG,3,blue,279.9,878.5,-70,-70.01,382
8.PNG,4,blue,296.5,878.5,-70,-70.01,362
8.PNG,5,blue,307.5,846.5,-68,-68.0,448
8.PNG,6,blue,321.0,877.9,-70,-69.97,418
8.PNG,7,yellow,334.5,894.5,-71,-71.02,434
8.PNG,8,yellow,348.7,910.7,-72,-72.03,429
8.PNG,9,yellow,363.2,942.9,-74,-74.05,421
8.PNG,10,yellow,374.8,926.1,-73,-73.0,421
8.PNG,11,yellow,390.5,1021.5,-79,-78.99,440
8.PNG,12,yellow,403.5,926.5,-73,-73.02,440
8.PNG,13,blue,415.5,862.5,-69,-69.0,449
8.PNG,14,yellow,430.3,942.2,-74,-74.01,426
8.PNG,15,yellow,442.8,958.8,-75,-75.05,424
8.PNG,16,yellow,454.5,910.5,-72,-72.02,440
8.PNG,17,yellow,471.5,973.5,-76,-75.98,440
8.PNG,18,blue,484.5,878.5,-70,-70.01,448
8.PNG,19,yellow,497.5,1005.5,-78,-77.99,440
8.PNG,20,blue,511.5,862.5,-69,-69.0,448
8.PNG,21,yellow,524.2,1069.9,-82,-82.03,421
8.PNG,22,yellow,535.8,1053.1,-81,-80.98,421
8.PNG,23,yellow,547.5,910.5,-72,-72.02,440
8.PNG,24,yellow,563.5,1085.5,-83,-83.01,441
8.PNG,25,yellow,577.5,958.5,-75,-75.03,442
